"IDCNTRY","YVar","EqVar","EqVarValue","N","WTD_N","PCT","SE_PCT","MEAN","SE_MEAN","n0","nUsed"
"Abu Dhabi, UAE","en11ztimr_seconds","en11zadz_d_clicked","1",266,2063.805513,19.2760711290546,1.29942621582748,106.72363861788,"17.3592525508531",3980,1551
"Abu Dhabi, UAE","en11ttimr_seconds","en11tadz_d_clicked","0",1338,8982.08548499999,82.8307468751219,1.33914950798712,125.750667718678,"10.4775038126753",3980,1568
"Abu Dhabi, UAE","en11ttimr_seconds","en11tadz_d_clicked","1",230,1861.81708,17.1692531248781,1.33914950798711,150.259462761508,"19.9878580383256",3980,1568
"Dubai, UAE","en11mtims_seconds","en11madz_d_clicked","0",2609,7534.14088699999,88.5792733013233,0.643639869871026,1762.81405458007,"10.3740436595002",7521,2963
"Dubai, UAE","en11mtims_seconds","en11madz_d_clicked","1",354,971.393879999999,11.4207266986767,0.643639869871027,1775.05187570051,"32.2031985540075",7521,2963
"Dubai, UAE","en11rtims_seconds","en11radz_d_clicked","0",2731,7937.53499199999,91.5794743671474,0.505810874747897,1546.81187906818,"9.9607509999134",7521,2998
"Dubai, UAE","en11rtims_seconds","en11radz_d_clicked","1",267,729.838397999999,8.42052563285265,0.505810874747897,1586.50933760682,"29.5333198862489",7521,2998
"Dubai, UAE","en11btims_seconds","en11badz_d_clicked","0",2630,7699.46050499999,90.0477198278296,0.790974999648498,1767.08350633172,"8.95434507865183",7521,2959
"Dubai, UAE","en11btims_seconds","en11badz_d_clicked","1",329,850.962003999999,9.95228017217038,0.790974999648499,1801.70867253081,"34.5514906103931",7521,2959
"Dubai, UAE","en11ztims_seconds","en11zadz_d_clicked","0",2680,7878.63117199999,91.4844069202916,0.456797317978449,1716.01248158834,"9.16379840998687",7521,2973
"Dubai, UAE","en11ztims_seconds","en11zadz_d_clicked","1",293,733.362321999999,8.51559307970838,0.456797317978444,1635.57495996365,"32.3499532710417",7521,2973
"Dubai, UAE","en11ttims_seconds","en11tadz_d_clicked","0",2752,8022.37951399999,93.3587297050932,0.543145805319103,1609.30896088095,"10.8515505511191",7521,2981
"Dubai, UAE","en11ttims_seconds","en11tadz_d_clicked","1",229,570.688899999999,6.64127029490679,0.5431458053191,1514.14263856367,"46.3048620515843",7521,2981
"Dubai, UAE","en11mtiml_seconds","en11madz_d_clicked","0",2607,7530.17615299999,88.5739472094048,0.64348376101724,1891.96055185111,"11.2838747463026",7521,2961
"Dubai, UAE","en11mtiml_seconds","en11madz_d_clicked","1",354,971.393879999999,11.4260527905952,0.643483761017236,1924.08355506007,"33.5764697535014",7521,2961
"Dubai, UAE","en11rtiml_seconds","en11radz_d_clicked","0",2719,7896.02266499999,91.5651759930307,0.508025729913087,1724.7817946233,"12.6484912681938",7521,2985
"Dubai, UAE","en11rtiml_seconds","en11radz_d_clicked","1",266,727.367809999999,8.43482400696925,0.50802572991308,1833.25451050274,"35.1099621926481",7521,2985
"Dubai, UAE","en11btiml_seconds","en11badz_d_clicked","0",2625,7677.90488099999,90.1778272042697,0.775222329041497,1894.26728185251,"11.4408825506961",7521,2951
"Dubai, UAE","en11btiml_seconds","en11badz_d_clicked","1",326,836.277727999999,9.82217279573032,0.775222329041498,1943.15307583918,"33.870776265247",7521,2951
"Dubai, UAE","en11ztiml_seconds","en11zadz_d_clicked","0",2676,7865.97106099999,91.4718700934449,0.458180032287293,1864.95682356872,"12.1449958431084",7521,2969
"Dubai, UAE","en11ztiml_seconds","en11zadz_d_clicked","1",293,733.362321999999,8.52812990655511,0.458180032287296,1802.69500679775,"34.7194846220011",7521,2969
"Dubai, UAE","en11ttiml_seconds","en11tadz_d_clicked","0",2749,8013.64713899999,93.3519739044782,0.544152953771352,1789.98224987966,"12.9599364565846",7521,2978
"Dubai, UAE","en11ttiml_seconds","en11tadz_d_clicked","1",229,570.688899999999,6.64802609552177,0.544152953771355,1695.78158239454,"47.694280125826",7521,2978
"Dubai, UAE","en11mtimr_seconds","en11madz_d_clicked","0",2607,7530.17615299999,88.5739472094048,0.64348376101724,128.414680570886,"5.06931297804534",7521,2961
"Dubai, UAE","en11mtimr_seconds","en11madz_d_clicked","1",354,971.393879999999,11.4260527905952,0.643483761017236,149.031679359561,"15.3293021637176",7521,2961
"Dubai, UAE","en11rtimr_seconds","en11radz_d_clicked","0",2719,7896.02266499999,91.5651759930307,0.508025729913087,177.148052317679,"7.22901511581886",7521,2985
"Dubai, UAE","en11rtimr_seconds","en11radz_d_clicked","1",266,727.367809999999,8.43482400696925,0.50802572991308,248.431560244603,"17.9674751928439",7521,2985
"Dubai, UAE","en11btimr_seconds","en11badz_d_clicked","0",2625,7677.90488099999,90.1778272042697,0.775222329041497,125.70108095938,"5.21506409781817",7521,2951
"Dubai, UAE","en11btimr_seconds","en11badz_d_clicked","1",326,836.277727999999,9.82217279573032,0.775222329041498,126.542342804088,"18.57214917942",7521,2951
"Dubai, UAE","en11ztimr_seconds","en11zadz_d_clicked","0",2676,7865.97106099999,91.4718700934449,0.458180032287293,148.465003994757,"7.64193579432118",7521,2969
"Dubai, UAE","en11ztimr_seconds","en11zadz_d_clicked","1",293,733.362321999999,8.52812990655511,0.458180032287296,167.120046834094,"20.783596621867",7521,2969
"Dubai, UAE","en11ttimr_seconds","en11tadz_d_clicked","0",2749,8013.64713899999,93.3519739044782,0.544152953771352,180.225125191527,"7.84600010557236",7521,2978
"Dubai, UAE","en11ttimr_seconds","en11tadz_d_clicked","1",229,570.688899999999,6.64802609552177,0.544152953771355,181.638943830868,"20.0380063796548",7521,2978
