"IDCNTRY","YVar","EqVar","EqVarValue","N","WTD_N","PCT","SE_PCT","MEAN","SE_MEAN","n0","nUsed"
"Ireland","erea","en11madz_d_clicked","0",887,21903.32109,90.2848934057164,1.40747091923484,569.727871756164,"3.02668031596491",2473,980
"Ireland","erea","en11madz_d_clicked","1",93,2356.907021,9.71510659428358,1.40747091923484,557.841811230013,"10.9640417259994",2473,980
"Ireland","erea","en11radz_d_clicked","0",955,23891.676311,94.7971016780776,0.716184766328086,567.527125886682,"2.66921558623509",2473,1009
"Ireland","erea","en11radz_d_clicked","1",54,1311.284421,5.20289832192244,0.716184766328088,553.42037488236,"11.780117324458",2473,1009
"Ireland","erea","en11badz_d_clicked","0",947,23417.947881,94.9870583308952,0.911561340927444,571.266223179502,"2.93329806833519",2473,994
"Ireland","erea","en11badz_d_clicked","1",47,1235.882117,5.0129416691048,0.911561340927441,527.950152138708,"26.4621806606404",2473,994
"Ireland","erea","en11zadz_d_clicked","0",939,23396.742533,95.4229339468828,0.734013788588927,564.586484319369,"3.56543714817255",2473,983
"Ireland","erea","en11zadz_d_clicked","1",44,1122.250507,4.57706605311716,0.734013788588926,534.855581132068,"13.5967196794843",2473,983
"Ireland","erea","en11tadz_d_clicked","0",936,23302.483793,95.9438681484028,0.699529649691221,566.421341592395,"2.97935850791589",2473,975
"Ireland","erea","en11tadz_d_clicked","1",39,985.137961999999,4.05613185159718,0.699529649691225,569.135636181191,"12.4837881719183",2473,975
"Israel","erea","en11madz_d_clicked","0",1371,37112.728802,90.4791113487129,0.757245956230088,538.796236648814,"2.67104712635692",3798,1511
"Israel","erea","en11madz_d_clicked","1",140,3905.278834,9.5208886512871,0.757245956230095,495.949087938783,"8.94009116294752",3798,1511
"Israel","erea","en11radz_d_clicked","0",1400,37991.563133,92.0056230789827,0.696451254459085,541.37326047703,"3.03547275669042",3798,1521
"Israel","erea","en11radz_d_clicked","1",121,3301.090361,7.99437692101735,0.696451254459082,475.499583448522,"11.2675894995",3798,1521
"Israel","erea","en11badz_d_clicked","0",1305,35289.278641,86.9378954498954,0.876253479814206,544.585447965189,"2.8932396686019",3798,1505
"Israel","erea","en11badz_d_clicked","1",200,5302.08656099999,13.0621045501046,0.876253479814209,473.506542602955,"8.54752900908936",3798,1505
"Israel","erea","en11zadz_d_clicked","0",1408,38321.34922,91.6608477296866,0.772919931484586,544.183202353222,"2.63459130694308",3798,1542
"Israel","erea","en11zadz_d_clicked","1",134,3486.412948,8.3391522703134,0.772919931484583,457.465474804014,"8.73777134669797",3798,1542
"Israel","erea","en11tadz_d_clicked","0",1361,37005.007513,90.1283635090523,0.868076883302912,544.021785019375,"2.90012567031145",3798,1513
"Israel","erea","en11tadz_d_clicked","1",152,4053.107904,9.87163649094771,0.868076883302913,479.590866299941,"9.2944521976526",3798,1513
"Italy","erea","en11madz_d_clicked","0",1327,185809.846391,88.6724084908127,1.00408557414928,535.240731666536,"2.42013629015111",3767,1509
"Italy","erea","en11madz_d_clicked","1",182,23736.561058,11.3275915091873,1.00408557414928,514.214292538125,"5.79996054388598",3767,1509
"Italy","erea","en11radz_d_clicked","0",1374,191584.774003,92.3405544247956,0.784103116210926,533.686399539278,"2.55597059244828",3767,1497
"Italy","erea","en11radz_d_clicked","1",123,15891.534967,7.65944557520436,0.78410311621093,508.741732011707,"8.02195557940841",3767,1497
"Italy","erea","en11badz_d_clicked","0",1413,196269.995106,94.089448911199,0.731006158004729,534.953027442848,"2.61419686777563",3767,1501
"Italy","erea","en11badz_d_clicked","1",88,12329.372174,5.91055108880098,0.731006158004726,506.99308037022,"7.15878745893431",3767,1501
"Italy","erea","en11zadz_d_clicked","0",1453,199497.957008,96.8033409136143,0.53263770945237,532.117246440523,"2.64529733293689",3767,1502
"Italy","erea","en11zadz_d_clicked","1",49,6587.86102799999,3.19665908638565,0.532637709452373,495.565447932838,"12.1302642485437",3767,1502
"Italy","erea","en11tadz_d_clicked","0",1422,197032.536224,95.5053037294489,0.51920907000729,536.312089263778,"2.21423660849003",3767,1492
"Italy","erea","en11tadz_d_clicked","1",70,9272.79817099999,4.49469627055108,0.519209070007289,508.529320502266,"9.29723915342641",3767,1492
"Norway (5th Grade)","erea","en11madz_d_clicked","0",1308,20669.084326,91.5561621431678,0.90135972571468,572.529503744904,"2.64387496726814",3610,1428
"Norway (5th Grade)","erea","en11madz_d_clicked","1",120,1906.222286,8.44383785683221,0.90135972571467,555.527456302717,"7.99638750422007",3610,1428
"Norway (5th Grade)","erea","en11radz_d_clicked","0",1319,20716.345999,93.0047156236129,0.82192729091117,567.893843491827,"2.48598480622262",3610,1418
"Norway (5th Grade)","erea","en11radz_d_clicked","1",99,1558.165417,6.99528437638706,0.821927290911167,567.481058968627,"8.7831482918373",3610,1418
"Norway (5th Grade)","erea","en11badz_d_clicked","0",1346,21187.52231,92.9396956235275,0.797093099848989,569.306327599202,"2.87136008344863",3610,1447
"Norway (5th Grade)","erea","en11badz_d_clicked","1",101,1609.542139,7.06030437647249,0.797093099848987,530.647980499225,"9.8904468327056",3610,1447
"Norway (5th Grade)","erea","en11zadz_d_clicked","0",1360,21426.658642,95.2281546734176,0.626353419105064,567.594914472015,"2.83807941213916",3610,1432
"Norway (5th Grade)","erea","en11zadz_d_clicked","1",72,1073.681426,4.77184532658238,0.626353419105063,557.789018738202,"10.2795647046859",3610,1432
"Norway (5th Grade)","erea","en11tadz_d_clicked","0",1324,20970.833083,92.6199190028824,0.796237590454535,565.076746823538,"2.68540999148029",3610,1438
"Norway (5th Grade)","erea","en11tadz_d_clicked","1",114,1670.984475,7.38008099711763,0.796237590454534,574.978541907412,"6.24370010243402",3610,1438
"Portugal","erea","en11madz_d_clicked","0",1694,34953.800874,92.8989531381195,0.682263240370924,525.584750481596,"2.40210594081226",4558,1826
"Portugal","erea","en11madz_d_clicked","1",132,2671.812433,7.10104686188046,0.682263240370926,483.400320044594,"7.68650469328253",4558,1826
"Portugal","erea","en11radz_d_clicked","0",1715,34888.74514,93.6639285568006,0.741007587208349,525.269589537369,"2.4475696534055",4558,1823
"Portugal","erea","en11radz_d_clicked","1",108,2360.114349,6.3360714431994,0.741007587208349,483.34571073492,"6.81875784616699",4558,1823
"Portugal","erea","en11badz_d_clicked","0",1684,34438.645197,93.3342910323244,0.726104222531538,523.805490924582,"2.65137467036945",4558,1804
"Portugal","erea","en11badz_d_clicked","1",120,2459.524614,6.66570896767561,0.726104222531529,477.002074769035,"9.488623031738",4558,1804
"Portugal","erea","en11zadz_d_clicked","0",1731,35305.44174,93.7509330920857,0.745142318861325,526.628675154936,"2.72892849897733",4558,1844
"Portugal","erea","en11zadz_d_clicked","1",113,2353.321299,6.24906690791427,0.745142318861323,491.673089018702,"8.29625121516535",4558,1844
"Portugal","erea","en11tadz_d_clicked","0",1713,34857.316781,94.1824188309519,0.761030920258232,523.234701580669,"2.68522090155389",4558,1813
"Portugal","erea","en11tadz_d_clicked","1",100,2153.111719,5.81758116904807,0.76103092025823,493.252814037868,"9.96273116811101",4558,1813
"Singapore","erea","en11madz_d_clicked","0",2248,13819.885344,88.3205244628016,0.652385740474479,585.824777161578,"3.24856099964791",6320,2530
"Singapore","erea","en11madz_d_clicked","1",282,1827.536847,11.6794755371984,0.652385740474484,594.161633167783,"6.18152959892551",6320,2530
"Singapore","erea","en11radz_d_clicked","0",2276,14106.406828,90.2999440734598,0.663942022675332,591.036521235283,"3.25842604272905",6320,2519
"Singapore","erea","en11radz_d_clicked","1",243,1515.315835,9.70005592654017,0.66394202267533,594.073913277768,"7.6460291920326",6320,2519
