"IDCNTRY","EqVar","groupA","groupB","pctA","pctAse","pctB","pctBse","diffAB","covAB","diffABse","diffABpValue","dofAB","n0A","n0B","nUsedA","nUsedB"
"Portugal","en11madz_d_clicked","GIRL","BOY",36.2358810462201,5.21002937534254,63.7641189537799,5.21002937534254,-27.5282379075597,-27.1444060919322,10.4200587506851,0.0096224617328029,96.3456262055861,4558,4558,46,86
"Portugal","en11radz_d_clicked","GIRL","BOY",40.0647082799461,5.28158987818584,59.9352917200539,5.28158987818584,-19.8705834401077,-27.8951916413551,10.5631797563717,0.0634699375101486,82.8185535884254,4558,4558,44,64
"Portugal","en11badz_d_clicked","GIRL","BOY",27.7555840309228,4.66634485981303,72.2444159690772,4.66634485981304,-44.4888319381544,-21.7747743507035,9.33268971962607,1.21128687449179e-05,60.642695873533,4558,4558,35,85
"Portugal","en11zadz_d_clicked","GIRL","BOY",29.5325411491973,4.35808856094015,70.4674588508027,4.35808856094014,-40.9349177016054,-18.9929359049973,8.71617712188029,8.6584092451325e-06,97.6406049358328,4558,4558,34,79
"Portugal","en11tadz_d_clicked","GIRL","BOY",24.108299324156,4.27513999312997,75.891700675844,4.27513999312997,-51.7834013516881,-18.2768219608593,8.55027998625994,2.19823212965764e-08,104.957255938327,4558,4558,30,70
"Singapore","en11madz_d_clicked","GIRL","BOY",33.4874577223777,2.75743286144099,66.5125422776223,2.75743286144099,-33.0250845552445,-7.60343598535463,5.51486572288197,2.96142272926403e-08,105.634131800868,6320,6320,94,188
"Singapore","en11radz_d_clicked","GIRL","BOY",33.9925485567172,2.84996979151334,66.0074514432828,2.84996979151333,-32.0149028865656,-8.12232781253856,5.69993958302667,9.84203345488766e-08,142.758269904876,6320,6320,83,160
"Singapore","en11badz_d_clicked","GIRL","BOY",26.1433137322356,3.30085618068376,73.8566862677643,3.30085618068376,-47.7133725355287,-10.8956515255582,6.60171236136752,3.30142579940684e-11,134.810788732811,6320,6320,55,150
"Singapore","en11zadz_d_clicked","GIRL","BOY",30.5413144923654,3.34524416910287,69.4586855076346,3.34524416910287,-38.9173710152692,-11.1906585509167,6.69048833820573,1.02640050902991e-07,85.0660705285687,6320,6320,66,150
"Singapore","en11tadz_d_clicked","GIRL","BOY",30.376240892593,3.65471091837177,69.623759107407,3.65471091837178,-39.2475182148139,-13.3569118968659,7.30942183674355,3.39364783608076e-07,133.697004862464,6320,6320,56,125
"Slovenia","en11madz_d_clicked","GIRL","BOY",37.4225917289905,5.63818979949254,62.5774082710095,5.63818979949253,-25.154816542019,-31.7891842151017,11.2763795989851,0.0279824786743741,97.8003874986214,4303,4303,30,49
"Slovenia","en11radz_d_clicked","GIRL","BOY",38.9327316346474,6.63280440817285,61.0672683653526,6.63280440817285,-22.1345367307051,-43.9940943170772,13.2656088163457,0.102588104895988,42.3119609955895,4303,4303,29,48
"Slovenia","en11badz_d_clicked","GIRL","BOY",38.5514933333767,5.58472156125081,61.4485066666233,5.5847215612508,-22.8970133332465,-31.1891149166996,11.1694431225016,0.0441609123540605,69.1575088617653,4303,4303,36,55
"Slovenia","en11zadz_d_clicked","GIRL","BOY",44.8858584705464,5.64548276634296,55.1141415294536,5.64548276634296,-10.2282830589073,-31.8714756650753,11.2909655326859,0.367348677022331,92.6276559359538,4303,4303,57,62
"Slovenia","en11tadz_d_clicked","GIRL","BOY",50.8298607731867,7.60376067789448,49.1701392268133,7.60376067789448,1.65972154637348,-57.8171764466944,15.207521355789,0.913553813213114,47.3786969833145,4303,4303,31,37
"Sweden","en11madz_d_clicked","GIRL","BOY",38.5150818485925,6.78789508627679,61.4849181514075,6.78789508627679,-22.969836302815,-46.0755197023006,13.5757901725536,0.097815262338325,43.4326112805505,3879,3879,41,53
"Sweden","en11radz_d_clicked","GIRL","BOY",25.8789629957154,7.36366402313527,74.1210370042846,7.36366402313527,-48.2420740085693,-54.2235478456167,14.7273280462705,0.00204290243054261,44.6342956079929,3879,3879,16,38
"Sweden","en11badz_d_clicked","GIRL","BOY",37.230193236657,8.58078590519357,62.769806763343,8.58078590519357,-25.539613526686,-73.6298867507687,17.1615718103871,0.1476692358762,28.5391251309043,3879,3879,20,42
"Sweden","en11zadz_d_clicked","GIRL","BOY",27.2410637429448,7.03170016533782,72.7589362570552,7.03170016533782,-45.5178725141104,-49.4448072152119,14.0634003306756,0.00172352903780904,85.2141527628975,3879,3879,13,31
"Sweden","en11tadz_d_clicked","GIRL","BOY",39.0060884696568,7.58599149465115,60.9939115303432,7.58599149465115,-21.9878230606863,-57.5472669569196,15.1719829893023,0.152626061955251,58.3316041909548,3879,3879,20,27
"Chinese Taipei","en11madz_d_clicked","GIRL","BOY",29.3569602416103,3.16891912083136,70.6430397583897,3.16891912083136,-41.2860795167794,-10.0420483943706,6.33783824166272,2.86376611313699e-09,101.30687723869,4299,4299,98,216
"Chinese Taipei","en11radz_d_clicked","GIRL","BOY",30.8587304664309,2.11202064731406,69.1412695335691,2.11202064731407,-38.2825390671382,-4.46063121468092,4.22404129462813,3.99680288865056e-15,115.317173837233,4299,4299,97,217
"Chinese Taipei","en11badz_d_clicked","GIRL","BOY",30.7688220361847,3.02535636727609,69.2311779638153,3.02535636727609,-38.4623559276307,-9.15278114901798,6.05071273455218,4.40735536955117e-09,113.894562498666,4299,4299,80,170
"Chinese Taipei","en11zadz_d_clicked","GIRL","BOY",30.0480873157078,2.63590024530049,69.9519126842922,2.63590024530048,-39.9038253685844,-6.94797010317515,5.27180049060097,5.74740255387951e-12,132.038671235381,4299,4299,90,209
"Chinese Taipei","en11tadz_d_clicked","GIRL","BOY",33.7619839101874,3.02661469900104,66.2380160898125,3.02661469900105,-32.4760321796251,-9.16039653620919,6.05322939800209,2.43289898449461e-07,182.403182230066,4299,4299,101,224
"United States","en11madz_d_clicked","GIRL","BOY",42.9968055436223,3.49001418352449,57.0031944563777,3.49001418352449,-14.0063889127553,-12.1801990012021,6.98002836704899,0.0469855840704563,122.756589471965,4090,4090,88,123
"United States","en11radz_d_clicked","GIRL","BOY",35.0350246212643,4.75391719050365,64.9649753787357,4.75391719050365,-29.9299507574713,-22.5997286541661,9.5078343810073,0.00205135237724052,126.485237464216,4090,4090,39,77
"United States","en11badz_d_clicked","GIRL","BOY",32.6595113126119,5.20534881221176,67.3404886873881,5.20534881221175,-34.6809773747762,-27.0956562567943,10.4106976244235,0.00135625845533327,73.3178906533318,4090,4090,43,85
"United States","en11zadz_d_clicked","GIRL","BOY",37.0924925207845,5.28577434866102,62.9075074792155,5.28577434866102,-25.815014958431,-27.9394104649628,10.571548697322,0.0178031518371684,55.8139383054504,4090,4090,37,71
"United States","en11tadz_d_clicked","GIRL","BOY",39.4259959520342,5.54407117750766,60.5740040479658,5.54407117750767,-21.1480080959317,-30.7367252212713,11.0881423550153,0.0603315625378382,74.6925621670645,4090,4090,39,65
